"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert"
"#verifikasi","none","TD-724968 (for registration). valid for the next 10 Second.\n\nThanks for your cooperation,\nThe iCloud Team<#>1<#>2<#>3<#>4<#>5<#>6<#>7<#>8<#>9<#>10","all","1","1","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"724966","none","Kode verifikasi yang anda kirim salah silahkan cek kembali \n@ALAN BOTZ\n\nTerimakasih 😊","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"724968","none","Kode verifikasi yang anda kirim salah silahkan cek kembali \n@ALAN BOTZ\n\nTerimakasih 😊","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"td-","none","Kode verifikasi yang anda kirim salah silahkan cek kembali \n@ALAN BOTZ\n\nTerimakasih 😊","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"td724968","none","Kode verifikasi yang anda kirim salah silahkan cek kembali \n@ALAN BOTZ\n\nTerimakasih 😊","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"-724968","none","Kode verifikasi yang anda kirim salah silahkan cek kembali \n@ALAN BOTZ\n\nTerimakasih 😊","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#pantun islam//#pantunislam","normal","Mawar tumbuh di halaman,\nWalau kecil menjadi taman.\nAl Quran adalah pedoman,\nPetunjuk terang setiap zaman.<#>Jalan-jalan ke Kenya\nTetap saja makan roti\nIbadah hanya kepada-Nya\nNiat bersih ikhlas hati<#>Buah ini buah berangan\nMasak dibungkus sapu tangan\nDunia ini pinjam-pinjaman\nAkhirat kelak kampung halaman<#>Asam rumbia dibelah-belah\nBuah separuh di dalam raga\nDunia ikut firman Allah\nAkhirat dapat masuk surga<#>Jalan-jalan kecarita\nNemu uang sejuta\nBuat apa jatuh cinta\nKalau ngaji pun tak bisa<#>Di meja ada buah tomat\nDisana juga ada buah nanas\nHai sobat ayo kita sholat\nBiar kita jadi orang cerdas<#>Ramai orang menggali perigi\nAmbil buluh lalu diikat\nIlmu dicari tak akan rugi\nBuat bekalan dunia akhirat<#>Daun terap diatas dulang\nAnak udang mati dituba\nDalam kitab ada terlarang\nYang haram jangan dicoba<#>Alangkah senang di hari raya,\nBanyak bertemu dengan teman.\nAl Quran membuat bahagia,\nKelak bagi orang yang beriman.<#>Hari raya makan ketupat,\ntutupi jangan terkena lalat.\nSetiap hari kami berangkat,\nMenuju masjid yang terdekat.<#>Angin bertiup bendera berkibar,\nAngin berbunyi menderu-deru.\nBelajar itu harus sabar,\nTidak perlu terburu-buru.<#>Masak air dalam panci,\nWarna hijau dari mesuji.\nTekun dan rajin adalah kunci,\nAgar berhasil saat mengaji<#>Jalan jalan ke daerah tuban\nKelilingnya naik delman,\nBerbuat baik itu kewajiban\nBagi setiap orang yang beriman<#>Sebelum Adzan Tabuh di pukul \n Marilah shalat perbanyak amal \n Untuk kamu bergigi gingsul \n Hati bergejolak ingin mengenal<#>_Kemana kau pergi aku akan\nMengikutimu, gunungkan kudaki\nLautanKan Kusebrangi\nTapi Mesjid Kau Lewat_","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#pantunmenu","none","_Ada 3 pantun silahkan pilih di bawah_🙂\n                ☟︎︎︎\n*~ #pantun islam*\n*~ #pantun motivasi*\n*~ #pantun cin*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#virtex lag","none","[ WAIT ] Sedang di proses...\n*Loading ██████━━━]67%*<#>Maaf, perintah ini Khusus Owner BOTz❗","all","5","10","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#pesankosong","none"," ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ ","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara brasil","none","╭┈• *Bendera Brasil*\n┆\n╰┈••❥︎ 🇧🇷","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#jsholat","none","*Shubuh*         *Dzuhur*\n  _04:19_             _11:58_\n                 *Ashr*           \n                _15:25_           \n *Maghrib*          *Isya*          \n   _18:12_            _19:28_\n                 \n*_Sekarang Jam_* %hour_of_day% : %minute%%am/pm%","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#benderamenu","none","*Terimah Kasih Telah Mengirim Perintah*❗\n ➸_#Bendera_\n\n*Manfaat fitur ini Untuk Mengenal*\n_Bendera Negara_\n   _*Silahkan Pilih Nama Negara DiBawah*_\n                   ☟︎︎︎\n~ *#Negara Palestina*\n~ *#Negara Bangladesh*\n~ *#Negara Arab*\n~ *#Negara Brasil*\n~ *#Negara Nepal*\n~ *#Negara Pakistan*\n~ *#Negara Inggris*\n~ *#Negara Afrika*\n~ *#Negara Argentina*\n~ *#Negara Australia*\n~ *#Negara Austria*\n~ *#Negara Belgia*\n~ *#Negara Italia*\n~ *#Negara Belanda*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara palestina","none","╭┈• *Bendera Palestina*\n┆\n╰┈••❥︎ 🇵🇸","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#covid","none","*[ WAIT ] Sedang di proses⏳ silahkan tunggu sebentar !*<#>*🇮🇩DATA WABAH COVID-19 DI INDONESIA*\n\n*📍Positif          ==> 788,402*\n*📍Sembuh      ==> 652,513*\n*📍Meninggal ==> 23,296*","all","3","3","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara bangladesh","none","╭┈• *Bendera Bangladesh*\n┆\n╰┈••❥︎ 🇧🇩","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#pantun cin","none","Beli jahe beli ketumbar,\nPotong jahe memakai parang,\nIngin bilang jantung berdebar,\nBila I Love You untukmu sayang.<#>Buah salak buah delima \n Ada banyak wanita cantik \nhanya Kamu yang aku cinta<#>Kalau nembak cewek jangan pakai senapan \n berilah dia buah duren \n Aku memang bukan orang yang tampan \n tetapi aku imut-imut dan keren<#>Pagi-pagi enaknya makan roti \n karena setelah itu harus pergi menuntut ilmu \n Kamu jangan berkecil hati \n karena hatiku hanya untukmu<#>Jauh-jauh ke Negeri Cina \n hanya untuk mencari ilmu \n Namamu saja sudah sangat mempesona \n apalagi dengan senyummu<#>Makanan busuk memang bau \n bila dimakan rasanya pahit \n Sebenarnya ku ingin kau tau \n aku tak bisa hidup tanpa cintamu<#>Kemarin aku habis dilempar batu \n ternyata yang nglembar batu itu ikan hiu \n Sebenarnya aku ingin katakan sesuatu \n yaitu I love you<#>Hobiku itu menyelam \n ketika menyelam pasti aku mengajak teman minimal satu \n Aku ingin sekali kamu tenggelam \n tenggelam di dalam hatiku<#>Aceh terkenal si Bungong Jeumpa \n Dijadikan pengiring Tari Saman \n Adik cantik siapa yang punya \n Bolehkan kita untuk berkenalan ?<#>Jalan-jalan ke negara Inggris \n banyak gedung berbaris-baris \n Aku rela ditusuk keris \n demi cintamu kepada Adinda yang manis<#>Aku itu sulit dalam menghafal \n soalnya aku males baca buku \n Kau bagaikan sebuah kapal \n yang berlabuh di hatiku<#>Jangan pegang duri Mawar \n Durinya sungguh tajam sekali \n Melihat adik rindu tertawar \n Siapa namamu si pelita hati ?<#>Ku ajak pergi ke pantai kau tidak mau \n soalnya aku ingin berdua denganmu \n Saat ini yang perlu kau tau \n ku tak bisa hidup tanpa dirimu","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara nepal","none","╭┈• *Bendera Nepa*\n┆\n╰┈••❥︎ 🇳🇵","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara arab","none","╭┈• *Bendera Arab Saudi*\n┆\n╰┈••❥︎ 🇸🇦","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara pakistan","none","╭┈• *Bendera Pakistan*\n┆\n╰┈••❥︎ 🇵🇰","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara inggris","none","╭┈• *Bendera Inggris*\n┆\n╰┈••❥︎ 🏴󠁧󠁢󠁥󠁮󠁧󠁿","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#spam name","none","*「 WAIT 」 SEDANG PROSES*<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%<#>%name%","all","1","1","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara afrika","none","╭┈• *Bendera Afrika*\n┆\n╰┈••❥︎ 🇿🇦","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#virtex lag","none","[ WAIT ] Sedang di proses...\n*Loading ██████━━━]67%*<#>Maaf , Perintah Ini Khusus Owner Botz❗","all","5","10","c","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#permainanmenu","none","*Terimah Kasih Telah Mengirim Perintah*❗\n ➸ _#Font_\n\n*Manfaat Font Ini Untuk*\n_Mengganti Gambar Menjadi Tulisan_\n   _ *Keybord*_\n☺︎︎`Silahkan Pilih Font Di Bawah´☺︎︎\n            ☟︎︎︎\n~ *#Impostor*\n~ *#Hello*\n~ *#Uni Soviet*\n~ *#Ngopi*\n~ *#Bucin*\n~ *#Spongebob*\n~ *#Ayam*\n~ *#Sapi*\n~ *#Cess*\n~ *#minecraft*\n~ *#Kereta*\n~ *#Insha Allah*\n~ *#Hacker*\n~ *#Topeng Hacker*\n~ *#Helicopter*\n~ *#Mobile Legend*\n~ *#Free Fire*\n~ *#Call Of Duty*\n~ *#Tank*\n~ *#Senjata*\n~ *#Love*\n~ *#Music*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#islam","none","*Terimah Kasih Telah Mengirim Perintah*❗\n ➸_#Islam_\n\n_Silahkan Pilih Fitur Islam Di Bawah_\n          ☟︎︎︎\n~ *#jsholat*\n\n~ *#quran*","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#spam chat","none","P<#>P<#>P<#>P<#>P<#>P<#>P<#>P<#>P<#>p<#>p<#>p<#>p<#>p<#>P<#>p<#>p<#>P<#>p<#>q<#>q<#>q<#>q<#>q<#>q","all","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#spam song","none","*「 WAIT 」 SEDANG PROSES*<#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎  ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎  ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#>‎<#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ <#> ‏‏‎ ‏‏‎ ‏‏‎ ‏‏‎ ","all","1","1","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#virtexmenu","none","*Ada 4 Fiture Virtex*\n☠︎︎`Silahkan Pilih Fiture Virtex Di Bawah`☠︎︎\n           ☟︎︎︎\n~ *#Virtex Lag*\n~ *#Spam Chat*\n~ *#Spam Name*\n~ *#Spam Song*\n\nJangan Lupa SUBSCRIBE Channel Youtube\n@arabotz\n\nhttps://youtube.com/channel/UCy5y79y7gtFACwtbrQRGTFQ","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#ngopi","none","∴∴∴︴︴︴︴︴\n∴∴◤▔▔▔▔◥❚❘⊢╮\n∴∴▉▒▒▒▒▒▉❘﹍〡\n∴∴▇▒▒▒▒▒▇❘⊢╯\n∴∴◥▇▇▇▇◤\n∴◥▇▇▇▇▇▇◤\n◒𝕐𝕠𝕜🄽🄶🄾🄿🄸🅑🅞🅢🅚🅤◒","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#bucin","none","┆   𝒕𝒓𝒊𝒎𝒂𝒌𝒂𝒔𝒊𝒉 𝒕𝒆𝒍𝒂𝒉 𝒎𝒆𝒎𝒃𝒂𝒄𝒂   ┆ \n◢▁╱╲☟🄳🄰🄻🄰🄼☟╱╲▁◣ \n   ┆☞▩▂▩◢◥◣◤▩◥◉☜┆ \n   ┆☞▩▔▩◥▔◤    ▩    ◥☜┆ ◥▁╱╲🅆🄰🄻🄰🅄🄿🄽╱╲▁◤ \n┆    𝒉𝒂𝒕𝒊𝒎𝒖 𝒃𝒖𝒌𝒂𝒏𝒍𝒂𝒉 𝒖𝒏𝒕𝒖𝒌 𝒌𝒖    ┆<#>╭┈•🅂🄴🄹🄰🅄🄷 🄰🄿🄰🄿🅄🄽•┈╮\n ┆☞▩◢◤◢◥◣◣◢◣◢▩┆▩☜┆ \n ┆☞▩◥◣◥▔◤▩◥◤▩◥◣◤☜┆ \n       ✯𝕋𝕆𝕃𝕆ℕ𝔾 𝕁𝔸𝔾𝔸𝕃𝔸ℍ ℍ𝔸𝕋𝕀𝕄𝕌\n╰┈•⸎㋛⸎🅤🅝🅣🅤🅚'🅚🅤⸎㋛⸎••┈╯<#>╭┈𝓪𝓲𝓻 𝓶𝓪𝓽𝓪 𝓲𝓽𝓾☟𝓭𝓪𝓽𝓪𝓷𝓰 𝓭𝓪𝓻𝓲┈╮\n ┆♡☞▩▂▩◢◥◣◤▩◥◉☜♡┆ \n ┆♡☞▩▔▩◥▔◤┆▩┆◥☜♡┆ \n╰┈•㋛𝖇𝖚𝖐𝖆𝖓 𝖉𝖆𝖗𝖎 𝖔𝖙𝖆𝖐 𝖈𝖔𝖔𝖄㋛•┈╯<#>𝒃𝒂𝒏𝒚𝒂𝒌𝒊𝒏 𝒄𝒂𝒏𝒅𝒂☟𝒏𝒈𝒂𝒌 𝒑𝒆𝒓𝒍𝒖 ◢▔◤◉▉◣▉◤▉◥◢••◣ ▉◈┆▉▉◥▉┆▉┆◥▔◤ \n◥▂◣㋛⸎ᵏᵃʳⁿᵃ ʰⁱᵈᵘᵖ ⁱᵗᵘ ᵇᵘᵗᵘʰ⸎㋛ \n┆⸎➢𝕥𝕒𝕨𝕒 𝕓𝕦𝕜𝕒𝕟 𝕒𝕚𝕣 𝕞𝕒𝕥𝕒➢⸎","random","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara australia","none","╭┈• *Bendera Australia*\n┆\n╰┈••❥︎ 🇦🇺","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara argentina","none","╭┈• *Bendera Argentina*\n┆\n╰┈••❥︎ 🇦🇷","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara austria","none","╭┈• *Bendera Austria*\n┆\n╰┈••❥︎ 🇦🇹","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara belanda","none","╭┈• *Bendera Belanda*\n┆\n╰┈••❥︎ 🇳🇱","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara belgia","none","╭┈• *Bendera Belgia*\n┆\n╰┈••❥︎ 🇧🇪","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#negara italia","none","╭┈• *Bendera Italia*\n┆\n╰┈••❥︎  🇮🇹","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#info","none","Speed: *0.0627 _Second_*\nDevice: *Black Shark 3*\nRAM: *8/128*\nData: *Telkomsel*\nJaringan: *4G*\nStatus: *Belum Di Charger*\nBot Type: *Termux Only*\n\n*Bot Telah Aktif Selama*\n*24 Jam 08 Menit 21 Detik*","all","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#spongebob","none",". ___________________\n▕╮╭┻┻╮╭┻┻╮╭▕╮╲\n▕╯┃╭╮┃┃╭╮┃╰▕╯╭▏\n▕╭┻┻┻┛┗┻┻┛   ▕  ╰▏\n▕╰━━━┓┈┈┈╭╮▕╭╮▏\n▕╭╮╰┳┳┳┳╯╰╯▕╰╯▏\n▕╰╯┈┗┛┗┛┈╭╮▕╮┈▏","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#ayam","none","╭━╮\n◢╰╰┓\n╰┳┳╯<#>┊┊╭━━━╮┊┊╭━━━╮┊┊\n┊┊┃┈▋▋┃┊┊┃▋▋┈┃┊┊\n┏━╯┈┈┈◣┊┊◢┈┈┈╰━┓\n┃┗━╯┈┈┃┊┊┃┈┈╰━┛┃\n╰━┳━┳━╯┊┊╰━┳━┳━╯\n━━┻━┻━━━━━━┻━┻━━","all","1","2","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#sapi","none",".   ╭┐┌╮☆°．·\n╭┘└┘└╮∴°☆°\n└┐．．┌———╮∴°\n╭┴———┤          ├╮\n│ｏ　ｏ│　  　│●°\n╰┬———╯          │ ∴°·\n ☆\ˍˍ\_ˍ|—|ˍˍ/ˍˍ/∴☆.","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
"#cess","none","☆┌─┐  ─┐☆\n　│▒│ /▒/\n　│▒│/▒/\n　│▒ /▒/─┬─┐◯\n　│▒│▒|▒│▒│\n┌┴─┴─┐-┘─┘\n│▒┌──┘▒▒▒│◯\n└┐▒▒▒▒▒▒┌┘\n◯└┐▒▒▒▒┌","single","","","b","","","","","0","","","","","","","","seconds","0","0","","",,,,,,,
